ID,MARCA,MODELO,COR,IDADE,SEXO,FATORSEGURO
  0,GM,TRACKER,PRATA, 63,F,7.93
  1,FIAT,STRADA,PRETO, 92,M,20.01
  2,FIAT,PALIO,AZUL, 70,M,13.56
  3,HONDA,CITY,VERDE, 33,M,6.34
  4,VV,POLO,CINZA, 89,M,20.21
  5,TOYOTA,YARIS,CINZA, 30,F,11.38
  6,VV,POLO,PRATA, 35,M,13.18
  7,FIAT,CRONOS,PRATA, 37,F,5.29
  8,HONDA,CRV,AZUL, 77,M,4.01
  9,VV,TCROSS,LARANJA, 18,M,10.87
 10,VV,VIRTUS,BRANCO, 36,M,12.35
 11,GM,SPIN,AZUL, 37,M,3.49
 12,VV,TAOS,PRATA, 47,F,12.26
 13,VV,JETTA,AZUL, 69,F,13.14
 14,HONDA,CITY,CINZA, 25,F,8.68
 15,HYUNDAI,CRETA,AZUL, 64,M,7.48
 16,TOYOTA,HILUX,CINZA, 53,M,15.42
 17,GM,TRAILBLAZER,AZUL, 31,M,6.56
 18,TOYOTA,HILUX,CINZA, 42,F,15.54
 19,VV,VIRTUS,VERDE, 32,F,7.62
 20,JEEP,RENEGADE,LARANJA, 23,M,9.93
 21,HONDA,ZRV,CINZA, 56,M,5.65
 22,HONDA,CIVIC,PRETO, 39,M,7.92
 23,TOYOTA,HILUX,VERDE, 41,M,12.77
 24,VV,JETTA,LARANJA, 87,M,16.94
 25,HONDA,CRV,PRETO, 41,M,3.57
 26,FIAT,MOBI,BRANCO, 68,M,5.56
 27,FIAT,CRONOS,PRATA, 69,F,11.60
 28,TOYOTA,YARIS,PRETO, 66,F,9.16
 29,VV,VIRTUS,PRETO, 85,F,10.31
 30,VV,TCROSS,VERDE, 51,F,8.18
 31,VV,POLO,PRETO, 50,F,11.28
 32,HONDA,ZRV,PRATA, 23,M,6.16
 33,HONDA,ZRV,VERDE, 67,M,4.93
 34,VV,JETTA,CINZA, 75,M,18.26
 35,FIAT,UNO,CINZA, 57,F,13.94
 36,VV,TAOS,LARANJA, 69,F,11.59
 37,HONDA,WRV,CINZA, 95,F,8.87
 38,HONDA,CRV,PRATA, 31,M,4.11
 39,TOYOTA,COROLLA,AZUL, 77,M,7.11
 40,FIAT,STRADA,VERDE, 79,F,15.34
 41,FIAT,MOBI,PRETO, 62,F,3.17
 42,TOYOTA,COROLLACROSS,CINZA, 53,F,11.72
 43,FIAT,CRONOS,LARANJA, 57,M,4.50
 44,VV,TAOS,BRANCO, 44,M,18.25
 45,FIAT,CRONOS,BRANCO, 62,F,16.48
 46,JEEP,RENEGADE,CINZA, 30,M,11.75
 47,HONDA,ZRV,AZUL, 98,F,7.61
 48,FIAT,PALIO,AZUL, 35,M,12.93
 49,JEEP,RENEGADE,VERDE, 98,F,14.23
 50,GM,EQUINOX,PRATA, 51,M,6.48
 51,VV,TCROSS,PRETO, 27,M,10.28
 52,VV,JETTA,CINZA, 23,F,18.35
 53,GM,EQUINOX,BRANCO, 74,M,11.02
 54,VV,TAOS,VERDE, 53,F,10.92
 55,VV,GOL,AZUL, 87,M,11.81
 56,JEEP,RENEGADE,AZUL, 63,M,8.72
 57,JEEP,RENEGADE,VERDE, 36,M,8.94
 58,TOYOTA,YARIS,PRETO, 72,M,10.11
 59,HONDA,CRV,PRETO, 48,M,3.57
 60,HYUNDAI,HB20,VERDE, 58,F,10.96
 61,VV,SAVEIRO,PRATA, 35,F,13.15
 62,HONDA,HRV,AZUL, 84,M,7.96
 63,VV,VIRTUS,AZUL, 65,F,7.24
 64,JEEP,RENEGADE,LARANJA, 77,F,9.58
 65,GM,S10,LARANJA, 45,F,12.11
 66,HONDA,CITY,BRANCO, 18,F,12.09
 67,TOYOTA,COROLLA,AZUL, 52,M,5.90
 68,HONDA,CITY,LARANJA, 58,M,5.85
 69,HONDA,CITY,PRETO, 19,M,8.01
 70,FIAT,CRONOS,PRETO, 44,M,10.46
 71,HONDA,CIVIC,BRANCO, 39,F,11.58
 72,VV,POLO,LARANJA, 91,F,15.87
 73,FIAT,CRONOS,PRETO, 80,F,12.89
 74,TOYOTA,COROLLACROSS,BRANCO, 55,M,16.13
 75,FIAT,UNO,PRETO, 86,M,16.17
 76,GM,TRAILBLAZER,LARANJA, 61,F,5.51
 77,HYUNDAI,HB20,VERDE, 27,M,13.03
 78,TOYOTA,YARIS,BRANCO, 73,M,15.93
 79,JEEP,COMPASS,LARANJA, 98,F,11.41
 80,FIAT,CRONOS,VERDE, 87,F,13.70
 81,GM,SPIN,PRETO, 84,M,4.76
 82,TOYOTA,YARIS,VERDE, 81,M,11.24
 83,VV,SAVEIRO,VERDE, 54,M,11.14
 84,VV,GOL,PRETO, 99,F,14.98
 85,VV,POLO,VERDE, 90,F,16.65
 86,TOYOTA,HILUX,AZUL, 18,F,15.99
 87,GM,SPIN,PRATA, 48,F,3.41
 88,JEEP,RENEGADE,VERDE, 57,M,8.68
 89,FIAT,MOBI,PRETO, 47,M,3.34
 90,HONDA,CIVIC,BRANCO, 31,F,12.47
 91,HYUNDAI,CRETA,BRANCO, 91,M,17.63
 92,JEEP,RENEGADE,CINZA, 73,F,12.01
 93,HYUNDAI,CRETA,CINZA, 23,M,10.99
 94,GM,SPIN,PRATA, 48,F,3.57
 95,FIAT,UNO,PRETO, 35,F,12.49
 96,TOYOTA,YARIS,VERDE, 56,M,8.55
 97,VV,TAOS,CINZA, 38,F,14.07
 98,VV,JETTA,BRANCO, 41,F,20.57
 99,VV,TCROSS,BRANCO, 80,M,17.49
100,TOYOTA,COROLLACROSS,CINZA, 84,M,16.44
101,HONDA,ZRV,AZUL, 53,M,4.62
102,VV,JETTA,AZUL, 58,F,12.15
103,VV,VIRTUS,CINZA, 23,M,10.86
104,HYUNDAI,CRETA,PRATA, 91,F,12.10
105,VV,TCROSS,PRETO, 30,F,9.76
106,HYUNDAI,CRETA,PRETO, 34,M,8.17
107,FIAT,PALIO,CINZA, 95,F,24.66
108,TOYOTA,HILUX,VERDE, 70,M,13.98
109,HYUNDAI,CRETA,CINZA, 62,M,9.12
110,GM,S10,LARANJA, 80,M,15.17
111,GM,TRAILBLAZER,PRATA, 36,M,6.97
112,TOYOTA,YARIS,PRETO, 93,F,13.51
113,VV,GOL,LARANJA, 34,M,8.79
114,FIAT,CRONOS,CINZA, 98,M,20.90
115,FIAT,PALIO,PRATA, 47,F,13.80
116,FIAT,UNO,VERDE, 27,M,13.06
